gps value x,gps value y,motor kanan,motor kiri,sensor kiri
0.5633308831015321,0.19894908852146803,3.6,3.6,27
0.5633745398069059,0.19624388542430315,3.6,3.6,29
0.563410831167663,0.1939948465448878,3.6,3.6,36
0.5634468384764004,0.19176362149485657,4.3,4.3,24
0.5634827596606922,0.18953772712586103,3.95,3.95,30
0.5635242561488691,0.18696564847865932,4.3,4.3,27
0.563569247250987,0.18417785722438965,3.6,3.6,30
0.5636143214607208,0.18138488967771388,3.95,3.95,25
0.563654484905607,0.17889589523244148,4.65,4.65,24
0.5636945602014103,0.17641263958080888,3.95,3.95,28
0.563735952762343,0.17384709702224285,5.0,5.0,23
0.563788034349404,0.17061995346459757,3.6,3.6,28
0.5638400615703382,0.16739616363574578,3.25,3.25,26
0.5638662876312924,0.16577091446386483,3.95,3.95,27
0.5638924100428245,0.16415218805582002,5.0,5.0,29
0.5639512221686479,0.16050646701462776,5.0,5.0,23
0.564010259086944,0.15684840715584097,3.95,3.95,26
0.5640505035371675,0.15435446060674377,3.6,3.6,25
0.5640871747448074,0.15208221015375806,3.25,3.25,27
0.5641203327239959,0.1500276357366352,4.65,4.65,22
0.5641535971287154,0.14796644091853414,3.95,3.95,23
0.5642017066009754,0.14498423984878522,5.0,5.0,21
0.564254020542546,0.14174284515645824,3.95,3.95,24
0.5643063797634814,0.13849859034034195,3.6,3.6,25
0.5643378463115143,0.13654850213634137,3.95,3.95,23
0.5643692796809224,0.13460077721919778,3.6,3.6,33
0.5644076748160167,0.13222094344535157,4.3,4.3,19
0.564453065554375,0.12940844584378947,4.65,4.65,21
0.5645018896257771,0.1263831640837361,3.25,3.25,28
0.5645507308996127,0.12335678791972976,4.65,4.65,21
0.5645911110156039,0.12085441954151566,4.65,4.65,22
0.5646313144988985,0.11836311434918635,3.6,3.6,21
0.5646715944925625,0.1158664719080648,3.95,3.95,22
0.5647124520145961,0.11333476437041654,3.25,3.25,21
0.5647532678568278,0.11080562248707622,4.3,4.3,21
0.5647939343250682,0.10828551085559214,3.95,3.95,20
0.5648344164213364,0.10577700020472394,3.6,3.6,25
0.564871474075745,0.10348068539416494,3.6,3.6,22
0.5649084309265043,0.1011906109368493,3.25,3.25,25
0.5649419420979627,0.09911405011974651,4.65,4.65,23
0.5649756480836863,0.0970254121310143,4.3,4.3,20
0.5650271263854731,0.09383446070587238,4.65,4.65,26
0.565079049749271,0.09061718653093596,4.3,4.3,21
0.5651310291236343,0.08739639758264328,3.6,3.6,28
0.5651673680079299,0.08514445342956858,3.6,3.6,24
0.5652034227059942,0.08291036311081317,5.0,5.0,21
0.5652395318089131,0.0806728825936234,3.6,3.6,23
0.5652844350591235,0.07788930540412123,5.0,5.0,19
0.565336631868484,0.07465518295317286,3.95,3.95,23
0.5653888510624612,0.07141961903318714,3.95,3.95,25
0.5654239896373011,0.06924202809737919,3.95,3.95,23
0.5654590060878539,0.0670722771136875,3.95,3.95,22
0.5655002399739882,0.06451673101226026,3.6,3.6,20
0.5655416018690963,0.06195385178530499,3.25,3.25,19
0.5655828428157854,0.05939843905652184,3.6,3.6,22
0.5656185049612006,0.057188515749954524,4.65,4.65,19
0.5656539291078463,0.05499346979001338,5.0,5.0,19
0.5657117459602153,0.05140937685369011,3.95,3.95,23
0.5657693860643708,0.047838006353217666,3.25,3.25,21
0.5657946485348649,0.046273134773960514,3.6,3.6,18
0.5658194222053857,0.044737977188439915,3.95,3.95,19
0.5658663018560721,0.04183145736008306,3.95,3.95,19
0.5659067235539682,0.03932668244600092,3.95,3.95,17
0.5659469840122048,0.03683211362832252,5.0,5.0,16
0.565987314885676,0.03433313767370706,4.65,4.65,20
0.566040928946277,0.031010037959159062,3.95,3.95,17
0.5660946590696249,0.027680947865008767,3.25,3.25,24
0.5661218517315227,0.025995845293962577,4.3,4.3,16
0.5661490911051316,0.02430804549709304,3.6,3.6,19
0.5661947803154678,0.02147590291006491,5.0,5.0,18
0.5662472753957689,0.01822332259957126,3.25,3.25,19
0.5662997497110646,0.014971975639883067,3.95,3.95,19
0.5663311387307906,0.013027143873340618,4.65,4.65,15
0.5663624027522645,0.011089770745405923,4.3,4.3,15
0.566415084585451,0.007824043806101766,3.6,3.6,17
0.566467911334779,0.004550811622853073,3.25,3.25,15
0.5664937488135691,0.002949806303884488,3.25,3.25,18
